GeneID,gene_type,locus,strand,sex-linked,avg ICRA,avg UCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,74,112,6.539158811,-0.598,0.598,0.384454814,0.864350508,no,2,0,0
LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,35,45,5.321928095,-0.338,0.338,0.533745849,0.90378814,no,2,0,0
CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,21,14,4.129283017,0.526,0.526,0.306047017,0.834086505,no,2,0,0
SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,110,121,6.851749041,-0.125,0.125,0.669457151,0.93729897,no,2,0,0
CMBL,mRNA,NW_005054340.1:61978-69619,-,-,8030,9758,13.11861669,-0.281,0.281,0.447387055,0.880910741,no,2,0,0
EDA,mRNA,NW_005054456.1:44908-79578,-,-,22,22,4.459431619,0.01,0.01,0.983908489,0.997561995,no,2,0,0
LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,17,38,4.781359714,-1.163,1.163,0.030844207,0.549320057,no,2,1,0
VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,196,243,7.77807713,-0.306,0.306,0.462268245,0.884511637,no,2,0,0
USP18,mRNA,NW_005054384.1:865266-877230,+,-,50,63,5.820178962,-0.346,0.346,0.542317171,0.906233549,no,2,0,0
DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,21,29,4.64385619,-0.448,0.448,0.589864872,0.917736892,no,2,0,0
IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,424,440,8.754887502,-0.051,0.051,0.892578218,0.98253007,no,2,0,0
DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,119,139,7.011227255,-0.224,0.224,0.582174785,0.917051237,no,2,0,0
BCO2,mRNA,NW_005054447.1:136807-151940,+,-,68,67,6.076815597,0.035,0.035,0.917437265,0.985690495,no,2,0,0
KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,1500,2297,10.89064428,-0.615,0.615,0.08545941,0.710701484,no,2,0,0
PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,14,9,3.523561956,0.658,0.658,0.247915669,0.81058099,no,1,0,0
SELENBP1,mRNA,NW_005054778.1:62178-67904,+,-,51,43,5.554588852,0.28,0.28,0.429314391,0.878661865,no,2,0,0
LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,10,13,3.523561956,-0.338,0.338,0.687483972,0.938111147,no,2,0,0
LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,82,54,6.087462841,0.609,0.609,0.350741257,0.856013202,no,2,0,0
DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,20,23,4.426264755,-0.228,0.228,0.623941387,0.924793893,no,2,0,0
LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,101,54,6.276124405,0.898,0.898,0.160859665,0.773089443,no,2,0,0
NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,252,311,8.136991112,-0.306,0.306,0.590786992,0.917909066,no,2,0,0
SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,233,339,8.159871337,-0.54,0.54,0.483397402,0.8900586,no,2,0,0
POLQ,mRNA,NW_005054320.1:6394572-6443540,-,-,20,16,4.169925001,0.386,0.386,0.514535572,0.900399692,no,2,0,0
PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,312,430,8.535275377,-0.465,0.465,0.0893563,0.718754943,no,2,0,0
LOC115948717,lnc_RNA,NW_005054487.1:428337-430256,+,-,412,399,8.663558104,0.047,0.047,0.85019369,0.973193206,no,2,0,0
LOC106631921,lnc_RNA,NW_005054392.1:603830-626449,-,-,100,149,6.960001932,-0.584,0.584,0.418734278,0.874891315,no,2,0,0
LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,54,46,5.64385619,0.238,0.238,0.66447275,0.936120928,no,2,0,0
LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,182,106,7.169925001,0.782,0.782,0.103657512,0.729949345,no,2,0,0
LOC102040923,pseudogene,NW_005054772.1:88125-88461,+,-,10,2,2.584962501,1.982,1.982,0.005430641,0.266354005,no,1,1,0
CPN2,mRNA,NW_005054309.1:215692-225342,+,-,573,672,9.281930027,-0.231,0.231,0.553754925,0.909930163,no,2,0,0
LOC115948647,mRNA,NW_005054458.1:659307-666707,+,-,231,280,7.997179481,-0.276,0.276,0.351878333,0.856013202,no,2,0,0
MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,13942,14229,13.78192316,-0.029,0.029,0.89867553,0.983961527,no,2,0,0
LOC102038749,mRNA,NW_005054387.1:1682926-1690155,-,-,9,3,2.584962501,1.652,1.652,0.008558177,0.324625804,no,0,1,0
PLPPR3,mRNA,NW_005054491.1:593087-597772,-,-,202,172,7.54689446,0.237,0.237,0.443214235,0.880011765,no,2,0,0
GEM,mRNA,NW_005054344.1:4572928-4581784,-,-,6,8,2.807354922,-0.484,0.484,0.500900704,0.895981991,no,0,0,0
LOC102039268,mRNA,NW_005054446.1:1360220-1365814,+,-,6,7,2.700439718,-0.111,0.111,0.787586413,0.955071403,no,0,0,0
LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,1506,2272,10.88340699,-0.593,0.593,0.222133961,0.802735308,no,2,0,0
LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,600,75,8.398743692,3.009,3.009,0.002258831,0.155682173,no,2,1,0
LRRC3C,mRNA,NW_005054625.1:281896-284488,-,-,1268,1100,10.20945337,0.204,0.204,0.686892124,0.938111147,no,2,0,0
LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,198,144,7.417852515,0.456,0.456,0.405074324,0.872585394,no,2,0,0
SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,62,56,5.882643049,0.146,0.146,0.800633324,0.957376514,no,2,0,0
PPM1K,mRNA,NW_005054304.1:1369580-1381321,-,-,30,9,4.285402219,1.772,1.772,0.002882248,0.179842041,no,1,1,0
COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,88,91,6.483815777,-0.055,0.055,0.933972674,0.989028103,no,2,0,0
ARHGEF38,mRNA,NW_005054304.1:14720945-14757423,-,-,36,75,5.794415866,-1.072,1.072,0.031366313,0.550345707,no,2,1,0
CCNG1,mRNA,NW_005054308.1:501834-506829,-,-,2274,4070,11.63117706,-0.84,0.84,0.022448822,0.475347038,no,2,0,0
DUSP15,mRNA,NW_005054337.1:2548585-2559661,-,-,35,17,4.700439718,1.018,1.018,0.081005731,0.706826421,no,2,1,0
LOC115948645,lnc_RNA,NW_005054458.1:666837-672261,+,-,511,649,9.17990909,-0.345,0.345,0.203277858,0.792416155,no,2,0,0
LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,156,161,7.30833903,-0.042,0.042,0.917046693,0.985690495,no,2,0,0
SV2A,mRNA,NW_005054618.1:49526-57409,-,-,61,38,5.62935662,0.686,0.686,0.071286547,0.689856701,no,2,0,0
LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,54,52,5.727920455,0.049,0.049,0.919670632,0.985923998,no,2,0,0
GALR2,mRNA,NW_005054370.1:2127973-2130555,-,-,12,11,3.523561956,0.161,0.161,0.738645218,0.943436752,no,2,0,0
PEBP1,mRNA,NW_005054330.1:5563954-5566771,+,-,464,574,9.019590728,-0.304,0.304,0.321068109,0.839467106,no,2,0,0
PEPD,mRNA,NW_005054484.1:805200-953694,+,-,535,77,8.257387843,2.784,2.784,5.46754E-06,0.005925339,yes,2,1,1
GAD1,mRNA,NW_005054298.1:18197331-18223335,+,-,48,80,6,-0.75,0.75,0.090969063,0.72288528,no,2,0,0
GPHN,mRNA,NW_005054301.1:15489163-15685088,+,-,257,237,7.948367232,0.111,0.111,0.585847223,0.917139534,no,2,0,0
LOC102034485,mRNA,NW_005054578.1:349915-353961,-,-,81,12,5.539158811,2.778,2.778,3.02001E-05,0.014956742,yes,2,1,1
SFXN3,mRNA,NW_005054300.1:5146187-5150458,+,-,1063,1571,10.36303963,-0.562,0.562,0.04950953,0.630254167,no,2,0,0
SOD1,mRNA,NW_005054530.1:700390-704551,-,-,11000,9491,13.32270277,0.213,0.213,0.552428617,0.909518175,no,2,0,0
LOC115947994,lnc_RNA,NW_005054337.1:1120650-1137336,-,-,236,217,7.82336724,0.121,0.121,0.577856814,0.915214794,no,2,0,0
MAP3K15,mRNA,NW_005054403.1:442639-498453,+,-,70,10,5.321928095,2.748,2.748,1.4408E-07,0.001130191,yes,2,1,1
LOC106631910,mRNA,NW_005054383.1:361524-374257,+,-,8310,9163,13.09283971,-0.141,0.141,0.788667187,0.955195754,no,2,0,0
IRF6,mRNA,NW_005054566.1:38134-42064,-,-,92,59,6.238404739,0.638,0.638,0.297613521,0.830329512,no,2,0,0
SLC22A18,mRNA,NW_005054437.1:888975-948495,-,-,28,98,5.977279923,-1.798,1.798,0.002203189,0.155196862,no,2,1,0
CD79B,mRNA,NW_005054839.1:35689-41824,+,-,85,96,6.499845887,-0.179,0.179,0.758558605,0.947575303,no,2,0,0
LOC115948698,lnc_RNA,NW_005054478.1:465559-466166,+,-,6123,8096,12.79553239,-0.403,0.403,0.209507092,0.793838408,no,2,0,0
RSAD2,mRNA,NW_005054318.1:8233265-8239893,-,-,2115,2020,11.01367161,0.066,0.066,0.897150831,0.983696096,no,2,0,0
DDX11,mRNA,NW_005054326.1:1275547-1294650,-,-,621,802,9.474719947,-0.368,0.368,0.525604864,0.902797035,no,2,0,0
SNRNP40,mRNA,NW_005054428.1:1281617-1296753,-,-,4541,6195,12.39016896,-0.448,0.448,0.16492981,0.775687999,no,2,0,0
LOC102032705,mRNA,NW_005054311.1:7962138-7966660,+,-,34920,25906,14.89240051,0.431,0.431,0.496635332,0.894012256,no,2,0,0
FAM13A,mRNA,NW_005054304.1:6943460-7060781,-,-,511,626,9.151016539,-0.293,0.293,0.432417431,0.878720686,no,2,0,0
CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,8,10,3.169925001,-0.304,0.304,0.611725508,0.923235362,no,1,0,0
ZNF704,mRNA,NW_005054423.1:325921-395615,+,-,335,408,8.537218401,-0.288,0.288,0.06976197,0.689856701,no,2,0,0
ZHX1,transcript,NW_005054321.1:5097558-5124609,-,-,34,25,4.882643049,0.496,0.496,0.078113679,0.704024567,no,2,0,0
LOC102036394,mRNA,NW_005054641.1:230630-232370,+,-,5718,932,11.69913863,2.617,2.617,2.6368E-07,0.001130191,yes,2,1,1
POMGNT2,mRNA,NW_005054361.1:4222522-4233361,-,-,1051,1007,10.00702727,0.063,0.063,0.884884323,0.980475357,no,2,0,0
DENND4C,mRNA,NW_005054323.1:3985369-4044892,-,-,359,482,8.71596199,-0.426,0.426,0.143690712,0.762041302,no,2,0,0
SPR,mRNA,NW_005054655.1:265742-267290,-,-,9,12,3.392317423,-0.316,0.316,0.581413016,0.917051237,no,1,0,0
LOC115949297,rRNA,NW_005055486.1:4248-4400,-,-,1290,7571,12.11325381,-2.553,2.553,5.6191E-06,0.005925339,yes,2,1,1
ZBTB46,mRNA,NW_005054337.1:1971786-2019196,+,-,320,431,8.552669098,-0.428,0.428,0.100012044,0.728568172,no,2,0,0
LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,1084,1515,10.34374092,-0.484,0.484,0.239725019,0.807974828,no,2,0,0
DTX3L,mRNA,NW_005054298.1:7561545-7569389,+,-,2343,2248,11.16459272,0.06,0.06,0.901630456,0.984122123,no,2,0,0
LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,168,77,6.936637939,1.13,1.13,0.080058292,0.705422722,no,2,1,0
LOC102034174,mRNA,NW_005054341.1:4570913-4573569,-,-,18,16,4.087462841,0.224,0.224,0.629451531,0.925110245,no,2,0,0
JMJD7,mRNA,NW_005054312.1:856110-865733,-,-,248,230,7.900866808,0.111,0.111,0.78219845,0.95311794,no,2,0,0
DDX58,mRNA,NW_005054379.1:436364-457001,+,-,325,357,8.413627929,-0.134,0.134,0.752507838,0.94676637,no,2,0,0
IL4I1,mRNA,NW_005054770.1:28414-37076,+,-,37,15,4.700439718,1.277,1.277,0.01755827,0.43526202,no,2,1,0
FDFT1,mRNA,NW_005054377.1:2316431-2328910,-,-,1774,1810,10.80735492,-0.029,0.029,0.928124648,0.98727663,no,2,0,0
SPATA5L1,mRNA,NW_005054313.1:3330479-3338330,-,-,49,42,5.50779464,0.217,0.217,0.624128341,0.924793893,no,2,0,0
LOC115947799,lnc_RNA,NW_005054317.1:6394759-6395405,+,-,632,512,9.159871337,0.303,0.303,0.341959123,0.8534043,no,2,0,0
MATN3,mRNA,NW_005054318.1:1647737-1661970,+,-,300,300,8.22881869,0,0,0.999435215,1,no,2,0,0
LOC102044823,mRNA,NW_005054480.1:1297301-1298586,-,-,620,112,8.515699838,2.465,2.465,7.04223E-07,0.001856508,yes,2,1,1
LOC102043273,mRNA,NW_005054898.1:5760-44323,+,-,766,236,8.968666793,1.697,1.697,0.003048311,0.187979153,no,2,1,0
LOC102044558,mRNA,NW_005054314.1:5108781-5113120,+,-,17,19,4.169925001,-0.099,0.099,0.774594183,0.952389552,no,2,0,0
LOC102033548,mRNA,NW_005054341.1:4111657-4112628,-,-,87,154,6.912889336,-0.817,0.817,0.071871385,0.689856701,no,2,0,0
DHCR7,mRNA,NW_005054402.1:1610452-1617641,+,-,110,91,6.651051691,0.268,0.268,0.497671203,0.894330077,no,2,0,0
LOC102036759,mRNA,NW_005054357.1:3211972-3219093,+,-,29,35,5,-0.294,0.294,0.569190166,0.91358339,no,2,0,0
LRRC59,mRNA,NW_005054370.1:3162464-3166163,-,-,92,56,6.209453366,0.694,0.694,0.058024503,0.660052189,no,2,0,0
CFH,mRNA,NW_005054357.1:2420524-2449154,-,-,29,5,4.087462841,2.433,2.433,5.71356E-05,0.022314608,yes,1,1,1
RCC1,mRNA,NW_005054436.1:77634-86439,-,-,37746,42322,15.28893815,-0.165,0.165,0.535701872,0.904318144,no,2,0,0
CMPK2,mRNA,NW_005054318.1:8245781-8250937,+,-,739,922,9.697836358,-0.319,0.319,0.414021661,0.874891315,no,2,0,0
LOC115948891,lnc_RNA,NW_005054596.1:209000-210702,-,-,49,43,5.523561956,0.204,0.204,0.648125728,0.930085029,no,2,0,0
PITRM1,mRNA,NW_005054422.1:1708471-1735655,-,-,498,488,8.945443836,0.032,0.032,0.937303779,0.98975145,no,2,0,0
RGS3,mRNA,NW_005054358.1:1202890-1265807,-,-,22,20,4.392317423,0.099,0.099,0.83077154,0.966877243,no,2,0,0
TCF24,mRNA,NW_005054346.1:2598220-2601645,+,-,61,105,6.375039431,-0.786,0.786,0.10758582,0.729949345,no,2,0,0
NMI,mRNA,NW_005054298.1:14548-24390,+,-,392,411,8.649256178,-0.07,0.07,0.849061464,0.972973072,no,2,0,0
LOC102032670,mRNA,NW_005054358.1:276298-280115,-,-,442,86,8.044394119,2.36,2.36,4.65188E-05,0.02043919,yes,2,1,1
MTTP,mRNA,NW_005054304.1:16356244-16383230,-,-,110,36,6.189824559,1.624,1.624,0.000109586,0.035158375,yes,2,1,1
FLT3,mRNA,NW_005054302.1:771003-804224,+,-,28,23,4.672425342,0.317,0.317,0.481802584,0.8900586,no,2,0,0
TNFRSF13B,mRNA,NW_005054399.1:120828-123624,-,-,16,18,4.087462841,-0.082,0.082,0.901040932,0.984122123,no,2,0,0
LOC115949382,snRNA,NW_005057261.1:1845-2035,+,-,52,37,5.475733431,0.485,0.485,0.383483466,0.864350508,no,2,0,0
TPPP3,mRNA,NW_005054343.1:3556578-3558733,-,-,86,42,6,1.026,1.026,0.043246201,0.60941188,no,2,1,0
P4HA1,mRNA,NW_005054594.1:447022-468773,-,-,638,1022,9.696967526,-0.681,0.681,0.007772956,0.320897793,no,2,0,0
ENPP5,mRNA,NW_005054659.1:76492-87287,-,-,744,1005,9.772314574,-0.433,0.433,0.194628878,0.788109176,no,2,0,0
LOC102038021,mRNA,NW_005054536.1:43400-45884,+,-,29,17,4.523561956,0.782,0.782,0.197821516,0.788526547,no,2,0,0
ALOX5,mRNA,NW_005054300.1:10670981-10692575,+,-,33,12,4.491853096,1.386,1.386,1.95651E-05,0.012584496,yes,2,1,1
LOC102036786,mRNA,NW_005054297.1:9273857-9276195,-,-,22,26,4.584962501,-0.203,0.203,0.689655865,0.938111147,no,2,0,0
ESD,mRNA,NW_005054322.1:3718139-3728747,-,-,812,1081,9.886458696,-0.413,0.413,0.147480823,0.766043203,no,2,0,0
CD82,mRNA,NW_005054312.1:4375147-4415160,-,-,178,221,7.640244936,-0.311,0.311,0.467912255,0.88579492,no,2,0,0
RBM43,mRNA,NW_005054298.1:27566-30211,+,-,388,345,8.517669388,0.168,0.168,0.750843547,0.945955222,no,2,0,0
GM2A,mRNA,NW_005054308.1:6231795-6243140,+,-,291,193,7.918863237,0.587,0.587,0.109128862,0.729949345,no,2,0,0
GALR3,mRNA,NW_005054334.1:3173404-3176824,+,-,21,14,4.129283017,0.551,0.551,0.135129725,0.751156008,no,2,0,0
LOC102043268,pseudogene,NW_005054678.1:23283-56959,+,-,103,55,6.303780748,0.906,0.906,0.026952601,0.518430981,no,2,0,0
BANK1,mRNA,NW_005054304.1:15676791-15809361,-,-,55,70,5.965784285,-0.334,0.334,0.52258485,0.902797035,no,2,0,0
COBL,mRNA,NW_005054464.1:869066-983533,-,-,17,16,4.044394119,0.08,0.08,0.88256998,0.979828333,no,2,0,0
NMNAT1,mRNA,NW_005054450.1:1124244-1130408,+,-,27,20,4.554588852,0.378,0.378,0.211953545,0.795071698,no,2,0,0
INIP,mRNA,NW_005054385.1:2162866-2174549,-,-,127,98,6.813781191,0.375,0.375,0.351147352,0.856013202,no,2,0,0
LOC106631792,mRNA,NW_005054315.1:3581604-3588180,+,-,63,52,5.845490051,0.27,0.27,0.693111374,0.938111147,no,2,0,0
CFD,mRNA,NW_005054491.1:600886-602906,+,-,232,88,7.321928095,1.392,1.392,0.000673633,0.082598346,no,2,1,0
LOC102040639,mRNA,NW_005054594.1:11265-24765,+,-,50,126,6.459431619,-1.32,1.32,0.060821503,0.665256114,no,2,1,0
WDFY4,mRNA,NW_005054300.1:9809194-9917574,-,-,164,156,7.321928095,0.08,0.08,0.879673582,0.9797449,no,2,0,0
TSTD3,mRNA,NW_005054305.1:14186756-14189100,+,-,38,39,5.266786541,-0.035,0.035,0.913578583,0.985690495,no,2,0,0
COLEC12,mRNA,NW_005054305.1:1486099-1570995,+,-,70,22,5.523561956,1.649,1.649,0.002225715,0.155196862,no,2,1,0
PPP3CC,mRNA,NW_005054703.1:11468-36554,-,-,90,77,6.383704292,0.243,0.243,0.60490717,0.921207884,no,2,0,0
LOC102044609,mRNA,NW_005054298.1:7589208-7608038,+,-,1890,1406,10.68650053,0.427,0.427,0.399749699,0.870223076,no,2,0,0
TRNAS-UGA,tRNA,NW_005054488.1:1182840-1182921,+,-,57,36,5.539158811,0.681,0.681,0.172142632,0.780653359,no,2,0,0
LOC115949267,lnc_RNA,NW_005055302.1:7473-9215,+,-,64,57,5.918863237,0.17,0.17,0.619517297,0.923814507,no,2,0,0
ENOPH1,mRNA,NW_005054304.1:4730753-4739179,-,-,1789,2144,10.94141447,-0.261,0.261,0.457018829,0.884511637,no,2,0,0
BCAR1,mRNA,NW_005054343.1:2735812-2741666,+,-,231,231,7.851749041,-0.001,0.001,0.996414841,0.999327847,no,2,0,0
TOX,mRNA,NW_005054305.1:11680864-11899568,-,-,13,14,3.754887502,-0.171,0.171,0.727139913,0.941967815,no,2,0,0
TNFSF15,mRNA,NW_005054358.1:2824799-2843592,-,-,59,13,5.169925001,2.195,2.195,2.74538E-05,0.014475006,yes,2,1,1
CAVIN2,mRNA,NW_005054298.1:28157154-28193574,+,-,30,37,5.06608919,-0.323,0.323,0.330713298,0.843424565,no,2,0,0
LOC102034253,mRNA,NW_005054641.1:218577-219395,+,-,114,64,6.475733431,0.841,0.841,0.057148663,0.655035489,no,2,0,0
SPATA5,mRNA,NW_005054435.1:1175254-1335810,+,-,18,13,3.95419631,0.445,0.445,0.44836277,0.880958593,no,2,0,0
TMCC3,mRNA,NW_005054331.1:3653740-3785987,-,-,14,17,3.95419631,-0.329,0.329,0.54453327,0.906712018,no,2,0,0
SELE,mRNA,NW_005054421.1:2052380-2058317,+,-,583,489,9.06608919,0.254,0.254,0.762373343,0.948715488,no,2,0,0
ECHDC3,mRNA,NW_005054409.1:193733-199119,+,-,662,839,9.551708262,-0.342,0.342,0.148389559,0.766043203,no,2,0,0
CDCA7,mRNA,NW_005054298.1:19099772-19108529,+,-,20,13,4.044394119,0.63,0.63,0.190263949,0.788109176,no,2,0,0
INTS6,mRNA,NW_005054322.1:5471244-5508313,-,-,160,160,7.321928095,0.006,0.006,0.986173223,0.997707248,no,2,0,0
ETV7,mRNA,NW_005054472.1:1357832-1367144,+,-,49,54,5.686500527,-0.125,0.125,0.776177723,0.952389552,no,2,0,0
NEURL1,mRNA,NW_005054300.1:4303694-4363727,-,-,27,17,4.459431619,0.645,0.645,0.189708473,0.787588916,no,2,0,0
MCOLN2,mRNA,NW_005054336.1:673509-688568,-,-,23,22,4.491853096,0.07,0.07,0.878127959,0.9797449,no,2,0,0
LOC102038583,mRNA,NW_005054392.1:2539531-2550310,+,-,42,42,5.392317423,-0.014,0.014,0.980808195,0.996972062,no,2,0,0
ACTA2,mRNA,NW_005054300.1:9117806-9127918,+,-,19,26,4.491853096,-0.449,0.449,0.218114389,0.801610666,no,2,0,0
PCNX4,mRNA,NW_005054303.1:11451977-11467987,-,-,138,310,7.807354922,-1.163,1.163,0.027614393,0.522789534,no,2,1,0
LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,39,59,5.614709844,-0.577,0.577,0.264837572,0.815995823,no,2,0,0
LOC102036983,mRNA,NW_005054329.1:6013679-6019205,-,-,102,23,5.965784285,2.139,2.139,0.000212002,0.048962098,yes,2,1,1
LOC115947922,snRNA,NW_005054330.1:6121386-6121526,-,-,12,52,5,-2.137,2.137,0.000154522,0.040735817,yes,2,1,1
OTUD3,mRNA,NW_005054473.1:355210-366878,+,-,4599,4262,12.11325381,0.11,0.11,0.672063297,0.937384081,no,2,0,0
LOC115947926,lnc_RNA,NW_005054331.1:3363581-3373139,-,-,75,17,5.523561956,2.131,2.131,0.001765053,0.139112872,no,2,1,0
LOC102031903,mRNA,NW_005054425.1:2128525-2134833,+,-,111,97,6.700439718,0.198,0.198,0.809874826,0.960472639,no,2,0,0
LOC115949070,lnc_RNA,NW_005054739.1:81232-83336,+,-,104,37,6.139551352,1.493,1.493,0.000289502,0.057599933,no,2,1,0
PTPN22,mRNA,NW_005054545.1:243743-258633,-,-,39,27,5.044394119,0.535,0.535,0.057665624,0.658668808,no,2,0,0
LIPT2,mRNA,NW_005054627.1:259930-261021,-,-,111,119,6.845490051,-0.11,0.11,0.725563086,0.941967815,no,2,0,0
XDH,mRNA,NW_005054434.1:300232-349430,-,-,37,21,4.857980995,0.842,0.842,0.124837289,0.737462249,no,2,0,0
LOC102033179,mRNA,NW_005054481.1:3908-11687,+,-,22,19,4.357552005,0.187,0.187,0.621597087,0.923865459,no,2,0,0
LOC102038688,mRNA,NW_005054438.1:1733049-1767552,-,-,239,168,7.668884984,0.507,0.507,0.253705527,0.813140194,no,2,0,0
LOC102033916,mRNA,NW_005055952.1:139-4997,-,-,1368,1450,10.4604559,-0.085,0.085,0.909501546,0.985682817,no,2,0,0
SGCB,mRNA,NW_005054297.1:12865231-12871034,-,-,257,306,8.136991112,-0.253,0.253,0.233623591,0.806931138,no,2,0,0
LOC115949449,lnc_RNA,NW_005062135.1:1-939,+,-,81,65,6.189824559,0.312,0.312,0.580719607,0.917051237,no,2,0,0
APMAP,mRNA,NW_005054405.1:12629-22863,+,-,13,16,3.857980995,-0.272,0.272,0.501393052,0.895981991,no,2,0,0
BLNK,mRNA,NW_005054300.1:7329059-7421281,+,-,77,50,5.988684687,0.636,0.636,0.154658353,0.769280694,no,2,0,0
UBE2E3,mRNA,NW_005054298.1:21868187-21922231,+,-,670,805,9.526499239,-0.265,0.265,0.438369783,0.878720686,no,2,0,0
SELENOP,mRNA,NW_005054335.1:6116543-6122551,+,-,11662,15591,13.73412743,-0.419,0.419,0.245125783,0.81058099,no,2,0,0
TET3,mRNA,NW_005054902.1:15306-24647,-,-,117,143,7.022367813,-0.285,0.285,0.417476792,0.874891315,no,2,0,0
