GeneID,gene_type,locus,strand,sex-linked,avg IFOR,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC102034377,mRNA,NW_005054297.1:24421603-24433139,-,-,12168,13090,13.62445279,-0.105,0.105,0.828153873,0.984639461,no,2,0,0
LOC115949082,mRNA,NW_005054744.1:79786-87655,+,+,365,461,8.689997971,-0.338,0.338,0.731399254,0.968639209,no,2,0,0
LRRC3C,mRNA,NW_005054625.1:281896-284488,-,-,198,137,7.388017285,0.534,0.534,0.294084232,0.823936297,no,2,0,0
LOC102043424,mRNA,NW_005054421.1:719900-732904,-,-,25,32,4.832890014,-0.37,0.37,0.508737423,0.919414377,no,2,0,0
SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,8,8,3,-0.065,0.065,0.916586895,0.993547474,no,0,0,0
PPM1K,mRNA,NW_005054304.1:1369580-1381321,-,-,51,68,5.894817763,-0.418,0.418,0.467354602,0.911338633,no,2,0,0
COL6A6,mRNA,NW_005054361.1:3722687-3766254,-,-,22,12,4.087462841,0.917,0.917,0.177161901,0.721458911,no,2,0,0
ARHGEF38,mRNA,NW_005054304.1:14720945-14757423,-,-,19,10,3.857980995,0.979,0.979,0.061452069,0.48998242,no,2,0,0
CCNG1,mRNA,NW_005054308.1:501834-506829,-,-,375,546,8.847057346,-0.542,0.542,0.141964656,0.668683458,no,2,0,0
DUSP15,mRNA,NW_005054337.1:2548585-2559661,-,-,173,128,7.233619677,0.434,0.434,0.446405934,0.901655546,no,2,0,0
LOC115948645,lnc_RNA,NW_005054458.1:666837-672261,+,-,75,88,6.348728154,-0.21,0.21,0.452312294,0.90414847,no,2,0,0
LOC115947657,mRNA,NW_005054308.1:11112279-11116632,+,-,1151,423,9.620219826,1.443,1.443,0.000303604,0.042706936,yes,2,1,1
SV2A,mRNA,NW_005054618.1:49526-57409,-,-,8,12,3.321928095,-0.549,0.549,0.195267763,0.739900529,no,1,0,0
LOC102033630,mRNA,NW_005054465.1:226483-238129,-,-,391,113,7.977279923,1.788,1.788,0.000196735,0.033963618,yes,2,1,1
GALR2,mRNA,NW_005054370.1:2127973-2130555,-,-,87,65,6.247927513,0.426,0.426,0.343164723,0.852784919,no,2,0,0
PEBP1,mRNA,NW_005054330.1:5563954-5566771,+,-,3222,4030,11.82416321,-0.323,0.323,0.290193359,0.82095617,no,2,0,0
PEPD,mRNA,NW_005054484.1:805200-953694,+,-,167,208,7.550746785,-0.312,0.312,0.609522129,0.944163284,no,2,0,0
GAD1,mRNA,NW_005054298.1:18197331-18223335,+,-,23,12,4.129283017,1.007,1.007,0.031446657,0.386713506,no,2,1,0
GPHN,mRNA,NW_005054301.1:15489163-15685088,+,-,41,34,5.22881869,0.235,0.235,0.302920315,0.830630834,no,2,0,0
LOC102034485,mRNA,NW_005054578.1:349915-353961,-,-,115,32,6.199672345,1.868,1.868,0.004475602,0.151320494,no,2,1,0
SFXN3,mRNA,NW_005054300.1:5146187-5150458,+,-,215,230,7.797661526,-0.098,0.098,0.735115508,0.969014915,no,2,0,0
SOD1,mRNA,NW_005054530.1:700390-704551,-,-,1617,2154,10.88073144,-0.414,0.414,0.248167262,0.78789313,no,2,0,0
LOC115947994,lnc_RNA,NW_005054337.1:1120650-1137336,-,-,44,33,5.266786541,0.459,0.459,0.054574047,0.468568082,no,2,0,0
MAP3K15,mRNA,NW_005054403.1:442639-498453,+,-,81,29,5.781359714,1.475,1.475,0.003827046,0.136266764,no,2,1,0
LOC106631910,mRNA,NW_005054383.1:361524-374257,+,-,1667,1386,10.57601187,0.267,0.267,0.612040597,0.944976242,no,2,0,0
IRF6,mRNA,NW_005054566.1:38134-42064,-,-,14,45,4.882643049,-1.652,1.652,0.008038051,0.199099031,no,2,1,0
SLC22A18,mRNA,NW_005054437.1:888975-948495,-,-,16,15,3.95419631,0.114,0.114,0.849919477,0.987884509,no,2,0,0
CD79B,mRNA,NW_005054839.1:35689-41824,+,-,319,615,8.86727874,-0.949,0.949,0.102442933,0.591904048,no,2,0,0
LOC115948698,lnc_RNA,NW_005054478.1:465559-466166,+,-,39037,25573,14.97946985,0.61,0.61,0.057413771,0.482721962,no,2,0,0
RSAD2,mRNA,NW_005054318.1:8233265-8239893,-,-,13409,5197,13.18348031,1.368,1.368,0.007512236,0.194975896,no,2,1,0
DDX11,mRNA,NW_005054326.1:1275547-1294650,-,-,264,127,7.611024797,1.056,1.056,0.069332412,0.510453674,no,2,1,0
SNRNP40,mRNA,NW_005054428.1:1281617-1296753,-,-,1536,983,10.29863541,0.644,0.644,0.046284136,0.439192505,no,2,0,0
LOC102032705,mRNA,NW_005054311.1:7962138-7966660,+,-,219154,65732,17.1200252,1.737,1.737,0.006111176,0.179924399,no,2,1,0
FAM13A,mRNA,NW_005054304.1:6943460-7060781,-,-,151,100,6.971543554,0.596,0.596,0.113532947,0.616584554,no,2,0,0
CUNH20orf194,mRNA,NW_005054548.1:521322-589016,-,-,52,44,5.584962501,0.23,0.23,0.685963348,0.959989318,no,2,0,0
ZNF704,mRNA,NW_005054423.1:325921-395615,+,-,63,66,6.011227255,-0.058,0.058,0.741910382,0.970529652,no,2,0,0
ZHX1,transcript,NW_005054321.1:5097558-5124609,-,-,151,151,7.238404739,0,0,0.998805415,0.999419417,no,2,0,0
LOC102036394,mRNA,NW_005054641.1:230630-232370,+,-,6751,2275,12.13987106,1.569,1.569,0.002022998,0.100831692,no,2,1,0
POMGNT2,mRNA,NW_005054361.1:4222522-4233361,-,-,174,364,8.071462363,-1.064,1.064,0.014469656,0.262946193,no,2,1,0
DENND4C,mRNA,NW_005054323.1:3985369-4044892,-,-,81,81,6.339850003,0.005,0.005,0.986059919,0.997988499,no,2,0,0
SPR,mRNA,NW_005054655.1:265742-267290,-,-,15,70,5.409390936,-2.234,2.234,5.5602E-05,0.021223651,yes,2,1,1
LOC115949297,rRNA,NW_005055486.1:4248-4400,-,-,2526,2080,11.1692987,0.28,0.28,0.618061989,0.945425783,no,2,0,0
ZBTB46,mRNA,NW_005054337.1:1971786-2019196,+,-,82,74,6.285402219,0.167,0.167,0.533172482,0.925513682,no,2,0,0
LOC102031948,mRNA,NW_005054343.1:3735622-3740662,-,-,187,441,8.294620749,-1.235,1.235,0.002772834,0.114843308,no,2,1,0
DTX3L,mRNA,NW_005054298.1:7561545-7569389,+,-,13543,6706,13.30556304,1.014,1.014,0.035616295,0.402285743,no,2,1,0
LOC102042767,mRNA,NW_005054897.1:16854-42373,+,-,29,53,5.357552005,-0.859,0.859,0.187206013,0.729488819,no,2,0,0
LOC102034174,mRNA,NW_005054341.1:4570913-4573569,-,-,89,89,6.475733431,0.004,0.004,0.991925399,0.997988499,no,2,0,0
JMJD7,mRNA,NW_005054312.1:856110-865733,-,-,44,52,5.584962501,-0.271,0.271,0.50884587,0.919414377,no,2,0,0
DDX58,mRNA,NW_005054379.1:436364-457001,+,-,1860,449,10.17305246,2.052,2.052,1.3057E-06,0.003327528,yes,2,1,1
IL4I1,mRNA,NW_005054770.1:28414-37076,+,-,210,48,7.011227255,2.143,2.143,4.51751E-05,0.020541041,yes,2,1,1
FDFT1,mRNA,NW_005054377.1:2316431-2328910,-,-,314,368,8.413627929,-0.23,0.23,0.479366485,0.911684483,no,2,0,0
SPATA5L1,mRNA,NW_005054313.1:3330479-3338330,-,-,276,147,7.724513853,0.91,0.91,0.036558798,0.402285743,no,2,0,0
LOC115947799,lnc_RNA,NW_005054317.1:6394759-6395405,+,-,170,92,7.033423002,0.89,0.89,0.005982865,0.177522825,no,2,0,0
MATN3,mRNA,NW_005054318.1:1647737-1661970,+,-,54,94,6.209453366,-0.801,0.801,0.031691299,0.386873259,no,2,0,0
LOC102044823,mRNA,NW_005054480.1:1297301-1298586,-,-,1096,474,9.616548844,1.21,1.21,0.014543696,0.26326138,no,2,1,0
LOC102043273,mRNA,NW_005054898.1:5760-44323,+,-,2695,1302,10.96470186,1.05,1.05,0.066533817,0.50291047,no,2,1,0
LOC102044558,mRNA,NW_005054314.1:5108781-5113120,+,-,96,50,6.189824559,0.94,0.94,0.003506288,0.13028492,no,2,0,0
LOC102033548,mRNA,NW_005054341.1:4111657-4112628,-,-,41,28,5.108524457,0.55,0.55,0.236807117,0.782081245,no,2,0,0
DHCR7,mRNA,NW_005054402.1:1610452-1617641,+,-,20,24,4.459431619,-0.283,0.283,0.495248875,0.916872236,no,2,0,0
LOC102036759,mRNA,NW_005054357.1:3211972-3219093,+,-,86,193,7.124121312,-1.163,1.163,0.021747373,0.329069812,no,2,1,0
LRRC59,mRNA,NW_005054370.1:3162464-3166163,-,-,224,306,8.049848549,-0.455,0.455,0.206616043,0.748309979,no,2,0,0
CFH,mRNA,NW_005054357.1:2420524-2449154,-,-,100,21,5.918863237,2.247,2.247,9.69445E-05,0.025244103,yes,2,1,1
RCC1,mRNA,NW_005054436.1:77634-86439,-,-,7065,11320,13.16624156,-0.68,0.68,0.010760255,0.230023164,no,2,0,0
CMPK2,mRNA,NW_005054318.1:8245781-8250937,+,-,3931,1432,11.38882454,1.456,1.456,0.000192366,0.0337202,yes,2,1,1
LOC115948891,lnc_RNA,NW_005054596.1:209000-210702,-,-,258,101,7.487840034,1.345,1.345,0.002230043,0.104572384,no,2,1,0
PITRM1,mRNA,NW_005054422.1:1708471-1735655,-,-,2593,2542,11.32614856,0.029,0.029,0.942824266,0.994654648,no,2,0,0
RGS3,mRNA,NW_005054358.1:1202890-1265807,-,-,95,106,6.651051691,-0.166,0.166,0.710379262,0.964194555,no,2,0,0
TCF24,mRNA,NW_005054346.1:2598220-2601645,+,-,20,20,4.321928095,-0.066,0.066,0.895660321,0.99233311,no,2,0,0
NMI,mRNA,NW_005054298.1:14548-24390,+,-,2017,1011,10.56414949,0.997,0.997,0.006222772,0.180555438,no,2,0,0
LOC102032670,mRNA,NW_005054358.1:276298-280115,-,-,813,200,8.984418459,2.023,2.023,0.000465555,0.050469272,no,2,1,0
MTTP,mRNA,NW_005054304.1:16356244-16383230,-,-,386,183,8.152284842,1.076,1.076,0.009126829,0.209524667,no,2,1,0
FLT3,mRNA,NW_005054302.1:771003-804224,+,-,134,116,6.965784285,0.21,0.21,0.630132104,0.946960123,no,2,0,0
TNFRSF13B,mRNA,NW_005054399.1:120828-123624,-,-,48,88,6.087462841,-0.866,0.866,0.178362697,0.721665991,no,2,0,0
LOC115949382,snRNA,NW_005057261.1:1845-2035,+,-,10,21,3.95419631,-0.974,0.974,0.090178952,0.559639964,no,2,0,0
TPPP3,mRNA,NW_005054343.1:3556578-3558733,-,-,206,41,6.948367232,2.321,2.321,4.69525E-06,0.006754818,yes,2,1,1
P4HA1,mRNA,NW_005054594.1:447022-468773,-,-,155,205,7.491853096,-0.406,0.406,0.118181208,0.626014263,no,2,0,0
ENPP5,mRNA,NW_005054659.1:76492-87287,-,-,304,202,7.982993575,0.589,0.589,0.079337626,0.532375096,no,2,0,0
LOC102038021,mRNA,NW_005054536.1:43400-45884,+,-,88,18,5.727920455,2.3,2.3,0.000141406,0.028275837,yes,2,1,1
ALOX5,mRNA,NW_005054300.1:10670981-10692575,+,-,56,61,5.87036472,-0.136,0.136,0.650373994,0.952654122,no,2,0,0
LOC102036786,mRNA,NW_005054297.1:9273857-9276195,-,-,69,125,6.599912842,-0.847,0.847,0.088027199,0.553827668,no,2,0,0
ESD,mRNA,NW_005054322.1:3718139-3728747,-,-,184,221,7.661778098,-0.268,0.268,0.353663673,0.857717866,no,2,0,0
CD82,mRNA,NW_005054312.1:4375147-4415160,-,-,866,838,9.73470962,0.045,0.045,0.915478908,0.993547474,no,2,0,0
RBM43,mRNA,NW_005054298.1:27566-30211,+,-,1874,772,10.36959735,1.28,1.28,0.015393246,0.270247531,no,2,1,0
GM2A,mRNA,NW_005054308.1:6231795-6243140,+,-,1269,933,10.10459875,0.444,0.444,0.223315783,0.769987878,no,2,0,0
GALR3,mRNA,NW_005054334.1:3173404-3176824,+,-,42,69,5.794415866,-0.715,0.715,0.03949964,0.415950917,no,2,0,0
LOC102043268,pseudogene,NW_005054678.1:23283-56959,+,-,225,265,7.936637939,-0.233,0.233,0.563983266,0.930794339,no,2,0,0
BANK1,mRNA,NW_005054304.1:15676791-15809361,-,-,185,333,8.016808288,-0.845,0.845,0.102892767,0.592999587,no,2,0,0
COBL,mRNA,NW_005054464.1:869066-983533,-,-,41,75,5.857980995,-0.86,0.86,0.099777582,0.58488418,no,2,0,0
NMNAT1,mRNA,NW_005054450.1:1124244-1130408,+,-,82,98,6.491853096,-0.261,0.261,0.354848485,0.857717866,no,2,0,0
INIP,mRNA,NW_005054385.1:2162866-2174549,-,-,264,458,8.495855027,-0.797,0.797,0.046118043,0.438988286,no,2,0,0
LOC106631792,mRNA,NW_005054315.1:3581604-3588180,+,-,13,28,4.357552005,-1.072,1.072,0.123606292,0.638427059,no,2,1,0
CFD,mRNA,NW_005054491.1:600886-602906,+,-,1087,410,9.547858506,1.406,1.406,0.000540899,0.054220518,no,2,1,0
LOC102040639,mRNA,NW_005054594.1:11265-24765,+,-,236,433,8.385862401,-0.872,0.872,0.213615269,0.75587962,no,2,0,0
WDFY4,mRNA,NW_005054300.1:9809194-9917574,-,-,460,727,9.21310422,-0.66,0.66,0.208364536,0.750420869,no,2,0,0
TSTD3,mRNA,NW_005054305.1:14186756-14189100,+,-,178,178,7.475733431,-0.003,0.003,0.992124771,0.997988499,no,2,0,0
COLEC12,mRNA,NW_005054305.1:1486099-1570995,+,-,130,28,6.303780748,2.216,2.216,3.67759E-05,0.020273125,yes,2,1,1
PPP3CC,mRNA,NW_005054703.1:11468-36554,-,-,130,355,7.921840937,-1.449,1.449,0.00189228,0.099357774,no,2,1,0
LOC102044609,mRNA,NW_005054298.1:7589208-7608038,+,-,8718,4603,12.70141477,0.921,0.921,0.069077143,0.510087469,no,2,0,0
TRNAS-UGA,tRNA,NW_005054488.1:1182840-1182921,+,-,12,31,4.426264755,-1.328,1.328,0.009717421,0.218814807,no,2,1,0
LOC115949267,lnc_RNA,NW_005055302.1:7473-9215,+,-,14,25,4.285402219,-0.852,0.852,0.020018276,0.312738513,no,2,0,0
ENOPH1,mRNA,NW_005054304.1:4730753-4739179,-,-,543,466,8.978710459,0.219,0.219,0.534156451,0.926017489,no,2,0,0
BCAR1,mRNA,NW_005054343.1:2735812-2741666,+,-,51,72,5.942514505,-0.52,0.52,0.048029325,0.443904076,no,2,0,0
TOX,mRNA,NW_005054305.1:11680864-11899568,-,-,38,65,5.686500527,-0.776,0.776,0.097972976,0.580777594,no,2,0,0
TNFSF15,mRNA,NW_005054358.1:2824799-2843592,-,-,58,26,5.392317423,1.175,1.175,0.022941267,0.333356328,no,2,1,0
CAVIN2,mRNA,NW_005054298.1:28157154-28193574,+,-,135,76,6.721099189,0.826,0.826,0.009875755,0.219774129,no,2,0,0
LOC102034253,mRNA,NW_005054641.1:218577-219395,+,-,247,54,7.233619677,2.189,2.189,7.3798E-07,0.002802848,yes,2,1,1
SPATA5,mRNA,NW_005054435.1:1175254-1335810,+,-,57,60,5.87036472,-0.067,0.067,0.906272096,0.993547474,no,2,0,0
TMCC3,mRNA,NW_005054331.1:3653740-3785987,-,-,51,76,5.988684687,-0.568,0.568,0.27883807,0.812486628,no,2,0,0
SELE,mRNA,NW_005054421.1:2052380-2058317,+,-,166,107,7.092757141,0.628,0.628,0.455270451,0.905773476,no,2,0,0
ECHDC3,mRNA,NW_005054409.1:193733-199119,+,-,166,185,7.45532722,-0.161,0.161,0.502278748,0.918079193,no,2,0,0
CDCA7,mRNA,NW_005054298.1:19099772-19108529,+,-,54,59,5.820178962,-0.131,0.131,0.777251318,0.977591513,no,2,0,0
INTS6,mRNA,NW_005054322.1:5471244-5508313,-,-,724,385,9.11504365,0.909,0.909,0.007089582,0.189052821,no,2,0,0
ETV7,mRNA,NW_005054472.1:1357832-1367144,+,-,220,206,7.73470962,0.097,0.097,0.823042504,0.984639461,no,2,0,0
NEURL1,mRNA,NW_005054300.1:4303694-4363727,-,-,57,77,6.06608919,-0.419,0.419,0.380732286,0.870868272,no,2,0,0
MCOLN2,mRNA,NW_005054336.1:673509-688568,-,-,32,99,6.033423002,-1.651,1.651,0.000227774,0.034883022,yes,2,1,1
LOC102038583,mRNA,NW_005054392.1:2539531-2550310,+,-,186,85,7.082149041,1.127,1.127,0.053081842,0.462396415,no,2,1,0
ACTA2,mRNA,NW_005054300.1:9117806-9127918,+,-,85,62,6.199672345,0.445,0.445,0.200847892,0.744309842,no,2,0,0
PCNX4,mRNA,NW_005054303.1:11451977-11467987,-,-,80,70,6.22881869,0.183,0.183,0.730419322,0.968639209,no,2,0,0
LOC102042641,mRNA,NW_005054376.1:3054405-3059851,+,-,174,53,6.826548487,1.725,1.725,0.000800932,0.063036262,no,2,1,0
LOC102036983,mRNA,NW_005054329.1:6013679-6019205,-,-,261,72,7.379378367,1.85,1.85,0.001203775,0.077930743,no,2,1,0
LOC115947922,snRNA,NW_005054330.1:6121386-6121526,-,-,17,18,4.129283017,-0.127,0.127,0.823815351,0.984639461,no,2,0,0
OTUD3,mRNA,NW_005054473.1:355210-366878,+,-,1046,1342,10.22158712,-0.359,0.359,0.166120879,0.706525307,no,2,0,0
LOC115947926,lnc_RNA,NW_005054331.1:3363581-3373139,-,-,19,32,4.672425342,-0.75,0.75,0.272804253,0.805790249,no,2,0,0
LOC102031903,mRNA,NW_005054425.1:2128525-2134833,+,-,483,223,8.463524373,1.115,1.115,0.175688365,0.719293292,no,2,1,0
LOC115949070,lnc_RNA,NW_005054739.1:81232-83336,+,-,268,161,7.744833837,0.736,0.736,0.069543597,0.510553958,no,2,0,0
PTPN22,mRNA,NW_005054545.1:243743-258633,-,-,143,119,7.033423002,0.262,0.262,0.322330352,0.839675171,no,2,0,0
LIPT2,mRNA,NW_005054627.1:259930-261021,-,-,25,30,4.781359714,-0.234,0.234,0.48136656,0.91335397,no,2,0,0
XDH,mRNA,NW_005054434.1:300232-349430,-,-,125,29,6.266786541,2.113,2.113,0.000100427,0.025244103,yes,2,1,1
LOC102033179,mRNA,NW_005054481.1:3908-11687,+,-,94,44,6.108524457,1.105,1.105,0.002314921,0.107376644,no,2,1,0
LOC102038688,mRNA,NW_005054438.1:1733049-1767552,-,-,1029,542,9.617467465,0.926,0.926,0.03661146,0.402285743,no,2,0,0
LOC102033916,mRNA,NW_005055952.1:139-4997,-,-,590,337,8.856425529,0.807,0.807,0.279588653,0.812486628,no,2,0,0
SGCB,mRNA,NW_005054297.1:12865231-12871034,-,-,1104,1003,10.0409746,0.138,0.138,0.509912723,0.919414377,no,2,0,0
LOC115949449,lnc_RNA,NW_005062135.1:1-939,+,-,19,25,4.459431619,-0.44,0.44,0.446242018,0.901655546,no,2,0,0
APMAP,mRNA,NW_005054405.1:12629-22863,+,-,57,49,5.727920455,0.226,0.226,0.552594992,0.929206508,no,2,0,0
BLNK,mRNA,NW_005054300.1:7329059-7421281,+,-,183,213,7.62935662,-0.219,0.219,0.619338698,0.945616018,no,2,0,0
UBE2E3,mRNA,NW_005054298.1:21868187-21922231,+,-,228,188,7.700439718,0.282,0.282,0.411973102,0.882500757,no,2,0,0
SELENOP,mRNA,NW_005054335.1:6116543-6122551,+,-,5074,3641,12.08928495,0.479,0.479,0.183987791,0.724167575,no,2,0,0
TET3,mRNA,NW_005054902.1:15306-24647,-,-,27,79,5.727920455,-1.534,1.534,2.20321E-05,0.014766665,yes,2,1,1
